14/01/21 0:46
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   33721	150081	                   960554	                  1051923	               112	
Restants :                 	   28488	125384	                   784272	                   857940	                96	
Segments uniques :         	    6923	 51246	                   279205	                   319346	               110	
Segments uniques restants :	    5937	 38132	                   211600	                   240166	                94	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Release/challenge/CHALE001.txt                                      	             7	                1	               7	                        1	       124	            6	         124	                    6	                            692	                                27	                              692	                                        27	                            798	                                29	                              798	                                        29	
Release/challenge/CHALE002.txt                                      	             6	                3	               3	                        3	        68	           57	          57	                   57	                            362	                               296	                              296	                                       296	                            415	                               345	                              345	                                       345	
Release/font/Notice.html                                            	            65	               64	              64	                       63	      1465	         1463	        1465	                 1463	                           7991	                              7975	                             7991	                                      7975	                           9381	                              9364	                             9381	                                      9364	
Release/MOD/ReadMe.txt                                              	             6	                5	               6	                        5	       123	          113	         123	                  113	                            579	                               526	                              579	                                       526	                            695	                               633	                              695	                                       633	
Release/MOD_kit/How to use MOD Kit.txt                              	             4	                4	               4	                        4	        64	           64	          64	                   64	                            322	                               322	                              322	                                       322	                            377	                               377	                              377	                                       377	
Release/scenario/breakthrough_in_training.txt                       	            70	                1	              60	                        1	       352	           19	         334	                   19	                           2438	                               122	                             2099	                                       122	                           2677	                               139	                             2330	                                       139	
Release/scenario/China_opening_up.txt                               	            76	                0	              37	                        0	       383	            0	         267	                    0	                           2385	                                 0	                             1484	                                         0	                           2646	                                 0	                             1692	                                         0	
Release/scenario/corporate_leadership.txt                           	           135	                0	              58	                        0	       747	            0	         423	                    0	                           4593	                                 0	                             2274	                                         0	                           5110	                                 0	                             2588	                                         0	
Release/scenario/Dilemma_of_a_Camera_Manufacturer.txt               	            73	                0	              26	                        0	       395	            0	         157	                    0	                           2584	                                 0	                              924	                                         0	                           2861	                                 0	                             1039	                                         0	
Release/scenario/Family_farm_business.txt                           	            81	                0	              28	                        0	       395	            0	         240	                    0	                           2486	                                 0	                             1301	                                         0	                           2751	                                 0	                             1494	                                         0	
Release/scenario/fashion_venture.txt                                	           107	                3	              43	                        3	       556	           21	         377	                   21	                           3497	                               119	                             2002	                                       119	                           3881	                               135	                             2302	                                       135	
Release/scenario/food_and_beverage.txt                              	            83	                0	              23	                        0	       415	            0	         252	                    0	                           2622	                                 0	                             1382	                                         0	                           2904	                                 0	                             1595	                                         0	
Release/scenario/legacy_brand.txt                                   	            84	                0	              31	                        0	       481	            0	         324	                    0	                           3040	                                 0	                             1759	                                         0	                           3390	                                 0	                             2035	                                         0	
Release/scenario/legendary_investor.txt                             	            46	               11	              11	                       11	       237	          131	         131	                  131	                           1527	                               701	                              701	                                       701	                           1687	                               813	                              813	                                       813	
Release/scenario/media_empire.txt                                   	            46	                0	               8	                        0	       201	            0	          81	                    0	                           1309	                                 0	                              408	                                         0	                           1433	                                 0	                              475	                                         0	
Release/scenario/Multinational_Corporation.txt                      	            95	               29	              30	                       27	       473	          244	         281	                  240	                           3075	                              1282	                             1501	                                      1262	                           3389	                              1472	                             1725	                                      1452	
Release/scenario/Opportunities_in_Small_Cities.txt                  	            76	               26	              25	                       25	       382	          231	         226	                  226	                           2448	                              1288	                             1256	                                      1256	                           2705	                              1473	                             1438	                                      1438	
Release/scenario/real_estate_mogul.txt                              	            73	               19	              17	                       17	       364	          203	         193	                  193	                           2399	                              1088	                             1040	                                      1040	                           2647	                              1260	                             1206	                                      1206	
Release/scenario/tech_leader.txt                                    	            84	               21	              22	                       19	       464	          218	         280	                  214	                           2983	                              1230	                             1512	                                      1202	                           3314	                              1412	                             1754	                                      1383	
Release/scenario/toys_and_gadgets.txt                               	           102	               30	              29	                       28	       445	          247	         246	                  241	                           3001	                              1358	                             1347	                                      1318	                           3285	                              1552	                             1541	                                      1509	
